date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:54	78017/78017	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:36:05%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html	(from )
09:13:55	141/141	---MCZ	200	added ('OK')	text/plain	date:Fri,%2024%20Jan%202025%2006:13:52%20GMT	https://htmldesigntemplates.com/robots.txt		(from )
09:13:55	25449/25449	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Sep%202021%2011:34:38%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/images/favicon.png	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/images/favicon.png	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:56	177205/177205	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:08%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/css/bootstrap.min.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/css/bootstrap.min.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:56	25080/25080	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:13%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/css/default.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/css/default.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:56	133911/133911	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:15%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/css/style.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/css/style.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:56	26/26	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:10%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/css/color/color-default.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/css/color/color-default.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:56	157789/157789	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:15%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/css/plugin.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/css/plugin.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:57	1634/1634	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Sep%202021%2011:33:29%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/fonts/flaticon.css	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/fonts/flaticon.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:57	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/my/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:57	56842/56842	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-de0a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	C:/My%20Web%20Sites/my/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.11.2/css/all.min.css	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:57	16980/16980	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Sep%202021%2011:35:09%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/images/logo-white.png	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/images/logo-white.png	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
09:13:58	79430/79430	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:36:08%20GMT	https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index.html	C:/My%20Web%20Sites/my/htmldesigntemplates.com/html/nepayatri/bootstrap4/index.html	(from https://htmldesigntemplates.com/html/nepayatri/bootstrap4/index-5.html)
